SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;voto_scritto_eng;voto_orale_eng;codice_orario;Cod_Reg;Areageo_5;WLE_ELI_200;LIVELLI_WLE_ELI;peso_studente;peso_classe;peso_scuola;ESCS_studente
1054;31;49;1;13;2;9;4;1;1;1;1;1;12;9;12;8;12;6;3;2;1;217,082146168987;3;23,8790849673203;1,3921568627451;17,1525821596244;,776251218719925
1054;31;50;1;13;2;11;4;1;1;1;1;1;12;9;12;7;12;7;3;2;1;213,895851373519;2;23,8790849673203;1,3921568627451;17,1525821596244;1,69152404293097
1054;31;51;1;13;2;1;5;1;1;1;1;1;12;6;12;6;12;7;3;2;1;214,310350821159;2;23,8790849673203;1,3921568627451;17,1525821596244;,546431698946221
1054;31;52;1;13;1;7;4;1;1;1;1;1;12;5;12;4;12;5;3;2;1;208,027419699983;2;23,8790849673203;1,3921568627451;17,1525821596244;,557679122073594
1054;31;53;1;13;1;6;4;1;1;1;1;1;12;8;12;6;12;7;3;2;1;237,106321017746;3;23,8790849673203;1,3921568627451;17,1525821596244;,68610891807411
1054;31;54;1;13;2;9;4;1;1;1;1;1;12;7;12;7;12;6;3;2;1;172,332993074258;2;23,8790849673203;1,3921568627451;17,1525821596244;,077865123080478
1054;31;55;1;13;1;10;4;1;1;1;1;1;12;8;12;9;12;8;3;2;1;231,013357063838;3;23,8790849673203;1,3921568627451;17,1525821596244;,965463356329889
1054;31;56;1;13;2;9;4;1;1;1;1;1;12;8;12;8;12;7;3;2;1;222,507307661524;3;23,8790849673203;1,3921568627451;17,1525821596244;-,407258255817538
1054;31;57;1;13;2;8;4;1;1;1;1;1;12;8;12;9;12;7;3;2;1;196,278279663851;2;23,8790849673203;1,3921568627451;17,1525821596244;,173945466948765
1054;31;58;1;13;1;7;3;1;3;1;1;1;12;6;12;4;12;6;3;2;1;153,085138528294;1;23,8790849673203;1,3921568627451;17,1525821596244; 
1054;31;59;1;13;1;9;4;1;1;1;1;1;12;4;12;4;12;6;3;2;1;195,771491081501;2;23,8790849673203;1,3921568627451;17,1525821596244;-,201489315175301
1054;31;60;1;13;1;10;4;1;1;1;1;1;12;8;12;9;12;8;3;2;1;257,93075204507;3;23,8790849673203;1,3921568627451;17,1525821596244;1,48588473748674
1054;31;61;1;13;2;2;5;1;1;1;1;1;12;8;12;6;12;6;3;2;1;165,247613753013;1;23,8790849673203;1,3921568627451;17,1525821596244;1,2724923855473
1054;31;62;1;13;1;9;4;1;1;1;1;1;12;6;12;4;12;7;3;2;1;213,993679591143;2;23,8790849673203;1,3921568627451;17,1525821596244; 
1054;31;63;1;13;2;5;4;1;1;1;1;1;12;7;12;8;12;7;3;2;1;182,058065981475;2;23,8790849673203;1,3921568627451;17,1525821596244;,267077260690442
1054;30;64;1;13;1;6;4;1;1;1;1;1;12;7;12;6;12;7;3;2;1;231,827486112891;3;23,8790849673203;1,3921568627451;17,1525821596244;-,0379824903594772
1054;30;65;1;13;1;6;4;1;1;1;1;1;12;8;12;6;12;8;3;2;1;276,951027861178;3;23,8790849673203;1,3921568627451;17,1525821596244;-,0379824903594772
1054;30;66;1;13;1;1;4;1;1;1;1;1;12;8;12;7;12;6;3;2;1;212,826529479227;2;23,8790849673203;1,3921568627451;17,1525821596244;1,69152404293097
1054;30;67;1;13;1;11;4;1;1;1;1;1;12;8;12;6;12;8;3;2;1;254,775437425708;3;23,8790849673203;1,3921568627451;17,1525821596244;1,40092218154782
1054;30;68;1;13;1;11;4;1;1;1;1;1;12;8;12;7;12;8;3;2;1;258,723628188273;3;23,8790849673203;1,3921568627451;17,1525821596244;1,16293342397136
1054;30;69;1;13;2;4;4;1;1;1;1;1;12;8;12;5;12;6;3;2;1;200,072180364402;2;23,8790849673203;1,3921568627451;17,1525821596244;,411934224525218
1054;30;70;1;13;2;2;4;1;1;1;1;1;12;9;12;9;12;8;3;2;1;280,61815251094;3;23,8790849673203;1,3921568627451;17,1525821596244;,496896780464146
1054;30;71;1;13;2;7;4;1;1;1;1;1;12;9;12;9;12;9;3;2;1;257,93075204507;3;23,8790849673203;1,3921568627451;17,1525821596244;-,023524600692709
1054;30;72;1;13;2;12;4;1;1;1;1;1;12;9;12;6;12;9;3;2;1;232,580687797079;3;23,8790849673203;1,3921568627451;17,1525821596244;,787498641847297
1054;30;73;1;13;2;1;5;1;1;1;1;1;12;9;12;8;12;8;3;2;1;239,767694995363;3;23,8790849673203;1,3921568627451;17,1525821596244;1,11032032016466
1054;30;74;1;13;1;2;4;1;1;1;1;1;12;8;12;6;12;7;3;2;1;279,760891692973;3;23,8790849673203;1,3921568627451;17,1525821596244;,453299905204544
1054;30;75;1;13;1;5;4;1;1;1;1;1;12;8;12;6;12;7;3;2;1;264,099694087955;3;23,8790849673203;1,3921568627451;17,1525821596244;,811328247535232
1054;30;76;1;13;2;6;4;1;1;1;1;1;12;9;12;9;12;9;3;2;1;232,515596317087;3;23,8790849673203;1,3921568627451;17,1525821596244;-,116656394434386
1054;30;77;1;13;2;4;4;1;1;1;1;1;12;9;12;6;12;8;3;2;1;237,48483694022;3;23,8790849673203;1,3921568627451;17,1525821596244;,411934224525218
1054;30;78;1;13;2;7;4;1;1;1;1;1;12;9;12;8;12;9;3;2;1;193,359230519548;2;23,8790849673203;1,3921568627451;17,1525821596244;,132579786269439
1054;30;79;1;13;1;2;4;1;1;1;1;1;12;8;12;6;12;7;3;2;1;209,27151892296;2;23,8790849673203;1,3921568627451;17,1525821596244;,965463356329889
1054;30;80;1;13;1;10;4;1;1;1;1;1;12;8;12;7;12;8;3;2;1;208,027419699983;2;23,8790849673203;1,3921568627451;17,1525821596244;,819718458781513
1054;30;81;1;13;1;10;4;1;1;1;1;1;12;7;12;6;12;6;3;2;1;191,118641340444;2;23,8790849673203;1,3921568627451;17,1525821596244;1,17418084709874
1054;30;82;1;13;2;9;4;1;1;1;1;1;12;9;12;7;12;9;3;2;1;247,814668073895;3;23,8790849673203;1,3921568627451;17,1525821596244;-,105408971307013
1054;30;83;1;13;1;7;4;1;1;1;1;1;12;7;12;7;12;6;3;2;1;223,257583880409;3;23,8790849673203;1,3921568627451;17,1525821596244;1,52096176630205
1054;30;84;1;13;1;11;4;1;1;1;1;1;12;7;12;7;12;6;3;2;1;228,299760454241;3;23,8790849673203;1,3921568627451;17,1525821596244;,822575670662604
1054;30;85;1;13;2;7;4;1;1;1;1;1;12;9;12;7;12;9;3;2;1;276,772568677668;3;23,8790849673203;1,3921568627451;17,1525821596244;,110084940014694
1054;30;86;1;13;2;12;4;1;1;1;1;1;12;9;12;7;12;8;3;2;1;249,564860903882;3;23,8790849673203;1,3921568627451;17,1525821596244;-,302879038948488
1054;30;87;1;13;2;12;4;1;1;1;1;1;12;8;12;7;12;8;3;2;1;242,209601396428;3;23,8790849673203;1,3921568627451;17,1525821596244;,25582983756307
1054;30;88;1;13;2;5;4;1;1;1;1;1;12;8;12;6;12;8;3;2;1;234,15120732536;3;23,8790849673203;1,3921568627451;17,1525821596244;-,023524600692709
1054;30;89;1;13;2;1;5;1;1;1;1;1;12;9;12;8;12;8;3;2;1;204,729167639631;2;23,8790849673203;1,3921568627451;17,1525821596244;,830965881908886
1054;30;90;1;13;2;3;4;1;1;1;1;1;12;9;12;9;12;9;3;2;1;213,993679591143;2;23,8790849673203;1,3921568627451;17,1525821596244;1,8115636276852
1054;30;91;1;13;1;5;4;1;1;1;1;1;12;8;12;6;12;7;3;2;1;220,093794711417;3;23,8790849673203;1,3921568627451;17,1525821596244;1,40092218154782
1079;84;92;3;13;2;7;4;1;1;1;4;1;12;7;12;6;12;7;3;3;1;278,07770572046;3;18;3,89655172413793;4,61946902654867;-,31412646207586
1055;33;93;4;13;1;3;4;1;1;1;1;1;9;7;4;4;7;9;3;2;1;201,987283914925;2;37,3846153846154;1,03846153846154;36;-,407258255817538
1054;30;94;1;13;1;9;4;1;1;1;1;1;12;7;12;6;12;6;3;2;1;242,118015223369;3;23,8790849673203;1,3921568627451;17,1525821596244;,674861494946738
1054;30;95;1;13;2;12;4;1;1;1;1;1;12;8;12;5;12;9;3;2;1;280,661773136131;3;23,8790849673203;1,3921568627451;17,1525821596244;-,407258255817538
1054;30;96;1;13;2;7;4;1;1;1;1;1;12;8;12;5;12;8;3;2;1;276,772568677668;3;23,8790849673203;1,3921568627451;17,1525821596244;1,8115636276852
1054;30;97;1;13;2;4;4;1;1;1;1;1;12;8;12;6;12;7;3;2;1;217,232860710552;3;23,8790849673203;1,3921568627451;17,1525821596244;,077865123080478
1056;34;98;1;13;1;9;4;1;1;1;1;1;12;8;12;7;12;5;3;2;1;255,232027406196;3;27,6780303030303;1,38636363636364;19,9644808743169;1,06685308010308
1055;33;99;4;13;1;5;4;1;1;1;1;1;9;9;7;7;9;9;3;2;1;151,453486640485;1;37,3846153846154;1,03846153846154;36;,185192890076138
1055;32;100;4;13;1;12;4;1;1;1;1;1;9;8;9;9;7;9;3;2;1;196,323115396578;2;37,3846153846154;1,03846153846154;36;,077865123080478
1055;32;101;4;13;1;2;5;1;1;1;1;1;10;9;10;9;8;9;3;2;1;159,805146209346;1;37,3846153846154;1,03846153846154;36;,674861494946738
